universityName,fieldName,researcherCount
"""Aurel Vlaicu"" University of Arad",nanoscience,1
Aalborg University,exoskeleton,1
Aalborg University,social theory,1
Aalborg University,geography,1
Abkhazian State University,systematics,1
Academic University at the St. Petersburg Academy of Sciences,astronomy,1
Academic University at the St. Petersburg Academy of Sciences,geography,1
Adam Mickiewicz University in Poznań,geography,15
Adam Mickiewicz University in Poznań,genetics,3
Adam Mickiewicz University in Poznań,histology,3
Adam Mickiewicz University in Poznań,astronomy,3
Adam Mickiewicz University in Poznań,zoophysiology,2
Adam Mickiewicz University in Poznań,parasitology,2
Adam Mickiewicz University in Poznań,faunistics,1
Adam Mickiewicz University in Poznań,zoogeography,1
Adam Mickiewicz University in Poznań,forensic science,1
Adam Mickiewicz University in Poznań,hydrology,1
Adam Mickiewicz University in Poznań,data science,1
Adam Mickiewicz University in Poznań,quantum chemistry,1
Adam Mickiewicz University in Poznań,animal morphology,1
Agricultural University of Athens,geography,1
Agricultural University of Georgia,geography,1
Agricultural University of Kraków,genetics,1
Agricultural University of Tajikistan,genetics,1
Ain Shams University,space sciences,1
Al-Mustansiriya University,geography,3
Al-Mustansiriya University,Islamic sciences,3
Al-Muthana University,geography,1
Albert Einstein College of Medicine,genetics,2
Albert Einstein College of Medicine,neuroscience,1
Alexandru Ioan Cuza University,histology,1
"All India Institute of Medical Sciences, New Delhi",neuroscience,1
Ambrose Alli University,parasitology,1
Ambrose Alli University,nutritional science,1
American University of Kuwait,neuroscience,1
American University of Rome,forensic science,1
Andrássy University Budapest,legal science,1
Arizona State University,geography,3
Arizona State University,astronomy,1
Arizona State University,biometrics,1
Arizona State University,kinesiology,1
Arizona State University,hydrology,1
Arizona State University,information science,1
Arizona State University,thanatology,1
Arizona State University,food science,1
Armenian National Agrarian University,genetics,1
Asahikawa Medical University,parasitology,2
Asian Institute of Technology,hydrology,1
Assiut University,histology,1
Assiut University,space sciences,1
